"Halving","Period","Start_Date","End_Date","days","weeks","months","quarters","years","Code"
"2012 Halving","Pre-Bull",2012-03-01,2012-10-31,244,35,8,3,1,"PB2012"
"2014 Halving","Halving Day",2012-11-01,2012-11-01,0,0,0,0,0,"HD2014"
"2014 Halving","Bull Run",2012-11-02,2014-07-08,613,88,20,7,2,"BR2014"
"2014 Halving","Crypto Winter",2014-07-09,2015-09-01,419,60,14,5,1,"CW2014"
"2016 Halving","Pre-Bull",2015-09-02,2016-07-08,310,44,10,3,1,"PB2016"
"2016 Halving","Halving Day",2016-07-09,2016-07-09,0,0,0,0,0,"HD2016"
"2016 Halving","Bull Run",2016-07-10,2017-12-31,539,77,18,6,1,"BR2016"
"2016 Halving","Crypto Winter",2017-01-01,2019-01-01,730,104,24,8,2,"CW2016"
"2020 Halving","Pre-Bull",2019-01-02,2020-05-11,495,71,16,5,1,"PB2020"
"2020 Halving","Halving Day",2020-05-12,2020-05-12,0,0,0,0,0,"HD2020"
"2020 Halving","Bull Run",2020-05-13,2021-03-01,292,42,10,3,1,"BR2020"
"2020 Halving","Crypto Winter",2021-03-02,2021-07-01,121,17,4,1,0,"CW2020"
"2020 Halving","Bull Run",2021-07-02,2021-11-01,122,17,4,1,0,"BR2020"
"2020 Halving","Crypto Winter",2021-11-02,2022-12-01,394,56,13,4,1,"CW2020"
"2024 Halving","Pre-Bull",2022-12-02,2024-04-19,504,72,17,6,1,"PB2024"
"2024 Halving","Halving Day",2024-04-20,2024-04-20,0,0,0,0,0,"HD2024"
