Halving,Period,Start_Date,End_Date
2012 Halving,Pre-Bull,01/03/2012,31/10/2012
2014 Halving,Halving Day,01/11/2012,01/11/2012
2014 Halving,Bull Run,02/11/2012,08/07/2014
2014 Halving,Crypto Winter,09/07/2014,01/09/2015
2016 Halving,Pre-Bull,02/09/2015,08/07/2016
2016 Halving,Halving Day,09/07/2016,09/07/2016
2016 Halving,Bull Run,10/07/2016,31/12/2017
2016 Halving,Crypto Winter,01/01/2017,01/01/2019
2020 Halving,Pre-Bull,02/01/2019,11/05/2020
2020 Halving,Halving Day,12/05/2020,11/05/2020
2020 Halving,Bull Run,12/05/2020,01/03/2021
2020 Halving,Crypto Winter,02/03/2021,01/07/2021
2020 Halving,Bull Run,02/07/2021,01/11/2021
2020 Halving,Crypto Winter,02/11/2021,01/12/2022
2024 Halving,Pre-Bull,02/12/2022,19/04/2024
2014 Halving,Halving Day,20/04/2024,20/04/2024
