"slug","symbol","date","open","close","market_cap","rank","ret","cum_ret","log_ret","cum_log_ret","Code","market_cap_category"
"audius","AUDIO",2020-11-04,0.08,0.1,11933274.33,263,0.25,-0.79,0.22,-1.57,"BR2020","Under 50M"
"bitcoin-sv","BSV",2020-01-18,286.51,249.19,4540896971,70,-0.13,1.71,-0.14,0.98,"PB2020","Under 10B"
"enjin-coin","ENJ",2019-11-07,0.07,0.07,51248408.36,143,0,6.25,0,1.9,"PB2020","Under 100M"
"airtor-protocol","ATOR",2023-09-01,0.59,0.6,50562976.48,285,0.02,28.74,0.02,3.4,"PB2024","Under 100M"
"dextools","DEXT",2021-03-07,0.55,0.57,54635720.07,524,0.04,33.35,0.04,3.5,"CW2020","Under 100M"
"jasmy","JASMY",2022-01-11,0.07,0.07,336225095.3,92,0,-0.69,0,-1.19,"CW2020","Under 500M"
"combo-network","COMBO",2023-06-28,0.93,0.82,58113795.65,605,-0.12,Inf,-0.13,Inf,"PB2024","Under 100M"
"fetch","FET",2020-11-22,0.06,0.05,39884165.53,52,-0.17,-0.78,-0.18,-1.5,"BR2020","Under 50M"
"rocket-pool","RPL",2023-02-07,40.62,42.99,441913572.7,158,0.06,233.87,0.06,5.39,"PB2024","Under 500M"
"aragon","ANT",2023-03-15,2.41,2.3,92045126.49,184,-0.05,0.17,-0.05,0.19,"PB2024","Under 100M"
"arbitrum","ARB",2024-04-20,1.12,1.22,3224549917,41,0.09,-0.33,0.09,-0.39,"HD2024","Under 10B"
"hex","HEX",2022-09-20,0.03,0.03,5341371744,228,0,0.39,0,0.32,"CW2020","Under 10B"
"propy","PRO",2022-03-23,1.52,1.56,114918894.9,232,0.03,-0.32,0.03,-0.33,"CW2020","Under 500M"
"mask-network","MASK",2023-03-04,3.45,3.2,218040693,193,-0.07,-0.87,-0.08,-2.04,"PB2024","Under 500M"
"defichain","DFI",2020-10-12,0.21,0.2,75984085.82,575,-0.05,0.2,-0.05,0.19,"BR2020","Under 100M"
"sovryn","SOV",2023-08-04,0.36,0.36,11240010.11,395,0,-0.98,0,-4.27,"PB2024","Under 50M"
"vite","VITE",2021-07-11,0.05,0.05,23464189.73,775,0,71.15,0,4.29,"BR2020","Under 50M"
"paraswap","PSP",2023-04-27,0.04,0.04,2662079.03,809,0,0.4,0,0.27,"PB2024","Under 50M"
"marinade","MSOL",2022-03-22,92.01,93.96,46792298.3,214,0.02,-0.37,0.02,-0.45,"CW2020","Under 50M"
"mina","MINA",2023-01-10,0.47,0.48,386243967.7,89,0.02,-0.88,0.02,-2.15,"PB2024","Under 500M"
"rocket-vault-rocketx","RVF",2022-06-18,0.04,0.04,2327175.18,714,0,-0.83,0,-1.84,"CW2020","Under 50M"
"osmosis","OSMO",2023-12-20,1.36,1.43,703593459.2,115,0.05,-0.7,0.05,-1.2,"PB2024","Under 1B"
"qtum","QTUM",2022-03-20,6.35,6.94,687444325,163,0.09,-0.18,0.09,-0.18,"CW2020","Under 1B"
"arcblock","ABT",2023-08-03,0.08,0.08,8012957.01,266,0,-0.99,0,-4.25,"PB2024","Under 50M"
"chainge","XCHNG",2022-02-02,0.09,0.09,10370275.7,517,0,0.29,0,0.27,"CW2020","Under 50M"
"horizen","ZEN",2019-03-05,5.21,5.57,33137210.41,373,0.07,-0.65,0.07,-1.01,"PB2020","Under 50M"
"livepeer","LPT",2021-06-20,24.43,25.24,534093633.6,142,0.03,5.19,0.03,1.7,"CW2020","Under 1B"
